0:	learn: 0.8159645	test: 0.4125000	best: 0.4125000 (0)	total: 90.5ms	remaining: 18s
1:	learn: 0.9379157	test: 0.5375000	best: 0.5375000 (1)	total: 136ms	remaining: 13.5s
2:	learn: 0.9800443	test: 0.5875000	best: 0.5875000 (2)	total: 175ms	remaining: 11.5s
3:	learn: 0.9822616	test: 0.5875000	best: 0.5875000 (2)	total: 212ms	remaining: 10.4s
4:	learn: 0.9977827	test: 0.5875000	best: 0.5875000 (2)	total: 249ms	remaining: 9.72s
5:	learn: 1.0000000	test: 0.6000000	best: 0.6000000 (5)	total: 283ms	remaining: 9.15s
6:	learn: 1.0000000	test: 0.6500000	best: 0.6500000 (6)	total: 312ms	remaining: 8.59s
7:	learn: 1.0000000	test: 0.6500000	best: 0.6500000 (6)	total: 339ms	remaining: 8.13s
8:	learn: 1.0000000	test: 0.6500000	best: 0.6500000 (6)	total: 368ms	remaining: 7.81s
9:	learn: 1.0000000	test: 0.6375000	best: 0.6500000 (6)	total: 395ms	remaining: 7.51s
10:	learn: 1.0000000	test: 0.6500000	best: 0.6500000 (6)	total: 423ms	remaining: 7.26s
11:	learn: 1.0000000	test: 0.6625000	best: 0.6625000 (11)	total: 448ms	remaining: 7.01s
12:	learn: 1.0000000	test: 0.6625000	best: 0.6625000 (11)	total: 471ms	remaining: 6.78s
13:	learn: 1.0000000	test: 0.6625000	best: 0.6625000 (11)	total: 496ms	remaining: 6.59s
14:	learn: 1.0000000	test: 0.6250000	best: 0.6625000 (11)	total: 520ms	remaining: 6.42s
15:	learn: 1.0000000	test: 0.6500000	best: 0.6625000 (11)	total: 545ms	remaining: 6.27s
16:	learn: 1.0000000	test: 0.6625000	best: 0.6625000 (11)	total: 570ms	remaining: 6.14s
17:	learn: 1.0000000	test: 0.6500000	best: 0.6625000 (11)	total: 595ms	remaining: 6.02s
18:	learn: 1.0000000	test: 0.6625000	best: 0.6625000 (11)	total: 619ms	remaining: 5.9s
19:	learn: 1.0000000	test: 0.6625000	best: 0.6625000 (11)	total: 642ms	remaining: 5.78s
20:	learn: 1.0000000	test: 0.6500000	best: 0.6625000 (11)	total: 666ms	remaining: 5.68s
21:	learn: 1.0000000	test: 0.6625000	best: 0.6625000 (11)	total: 690ms	remaining: 5.58s
22:	learn: 1.0000000	test: 0.6625000	best: 0.6625000 (11)	total: 714ms	remaining: 5.5s
23:	learn: 1.0000000	test: 0.6750000	best: 0.6750000 (23)	total: 737ms	remaining: 5.41s
24:	learn: 1.0000000	test: 0.6875000	best: 0.6875000 (24)	total: 762ms	remaining: 5.33s
25:	learn: 1.0000000	test: 0.6875000	best: 0.6875000 (24)	total: 785ms	remaining: 5.25s
26:	learn: 1.0000000	test: 0.7000000	best: 0.7000000 (26)	total: 807ms	remaining: 5.17s
27:	learn: 1.0000000	test: 0.7000000	best: 0.7000000 (26)	total: 830ms	remaining: 5.1s
28:	learn: 1.0000000	test: 0.7000000	best: 0.7000000 (26)	total: 852ms	remaining: 5.03s
29:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 875ms	remaining: 4.96s
30:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 897ms	remaining: 4.89s
31:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 919ms	remaining: 4.83s
32:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 942ms	remaining: 4.77s
33:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 964ms	remaining: 4.71s
34:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 987ms	remaining: 4.65s
35:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.01s	remaining: 4.6s
36:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.03s	remaining: 4.54s
37:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.05s	remaining: 4.49s
38:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.08s	remaining: 4.44s
39:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.1s	remaining: 4.39s
40:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.12s	remaining: 4.35s
41:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.14s	remaining: 4.3s
42:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.17s	remaining: 4.25s
43:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.19s	remaining: 4.21s
44:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.21s	remaining: 4.17s
45:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.23s	remaining: 4.13s
46:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.26s	remaining: 4.09s
47:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.28s	remaining: 4.05s
48:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.3s	remaining: 4.01s
49:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.32s	remaining: 3.97s
50:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 1.35s	remaining: 3.93s
51:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 1.37s	remaining: 3.9s
